ID,Symbol,baseMean,log2FoldChange,padj,type
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Lrrc59,18672.879,0.771,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Manf,6458.852,-1.238,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Slc6a6,44727.117,1.004,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Dynll1,6905.99,-1.151,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Tpp1,16656.618,-0.893,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Oxct1,12069.422,-1.32,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Hltf,2846.916,-1.307,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Slc44a1,13425.407,0.956,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Hnrpdl,7057.471,1.231,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,6720456H20Rik,2545.457,-1.281,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Creld2,2798.854,-1.495,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Fggy,2108.261,-1.262,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Cx3cl1,43325.984,-1.006,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Pnpla3,672.807,-2.477,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Tnk2,8823.433,0.872,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Dleu2,381.502,-3.195,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Fam63a,6522.645,0.916,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Lrrc51,473.165,-2.756,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Rnpep,2547.422,-1.486,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Hmgb3,1055.984,2.074,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Afg3l2,6529.461,0.87,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,S1pr3,19881.541,-1.053,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Gsto1,10319.027,1.065,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Fus,13743.452,1.211,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Tbcd,7667.964,0.901,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ncbp2,2800.555,-1.145,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Glt25d1,10488.432,-0.847,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Pdia4,25420.305,-0.727,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Psmc4,8330.076,0.841,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Slc7a6,6493.054,0.94,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Psmb3,8833.273,0.959,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Prelp,125964.078,-1.025,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Fam120c,1720.913,-1.91,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ephx2,5489.962,-1.009,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ccnd2,42934.007,-0.844,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Zxdc,5612.376,0.98,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Prdx1,90578.764,1.232,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ccl7,12567.146,-1.474,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Kctd21,647.345,-2.321,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Tmco3,3231.76,-1.173,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Nqo1,25043.615,1.5,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Sin3b,8781.848,0.914,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Rtcd1,3020.128,1.165,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Fmo1,7124.964,-1.256,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Psmc1,11641.101,0.835,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,1110002L01Rik,1051.503,-1.62,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,4930402H24Rik,4785.903,-1.072,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Necap2,5797.824,0.903,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Wdr78,358.192,-3.53,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ogt,8185.929,-1.113,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,1500009L16Rik,1979.799,-1.341,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Pcca,2311.383,-1.253,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ewsr1,15363.77,1.011,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Fbxo17,1219.426,1.534,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Psmd1,18014.93,0.815,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Srxn1,17863.873,1.367,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Adamts5,22296.112,-1.29,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Erlec1,9433.125,0.947,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Lman2l,2098.241,-1.341,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Apln,8338.314,-1.624,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Trp63,3897.826,-1.323,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Tra2a,2932.668,-1,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Pla2g15,5818.118,-0.892,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,2010111I01Rik,4832.43,1.068,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Mpzl1,6396.381,0.842,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Scara3,31639.365,0.789,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Slit2,15313.223,-1.132,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Mpv17,4878.283,-0.855,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Snhg5,2611.452,1.387,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Caprin1,21628.424,-0.723,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Psmb7,10325.574,0.755,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Srsf2,7708.242,1.129,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Chordc1,2336.808,-1.304,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Gclc,6992.418,1.042,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,P2rx4,7553.344,-0.807,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Wdr48,5512.077,-0.778,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Rragc,11892.275,0.719,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,1500003O03Rik,53404.765,0.601,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ephx1,48473.662,-0.698,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Xrn2,9427.726,0.815,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Atf5,8272.975,-0.838,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Lrrc29,324.883,2.709,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,B3galnt2,2261.155,-1.604,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,D3Ertd751e,1022.646,-1.82,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Hnrnpd,5690.032,0.901,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Erp44,6997.942,-0.838,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Glrb,762.16,-1.712,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Plxna3,1425.605,-1.607,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Il17ra,6684.352,0.904,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Canx,38424.209,-0.668,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Epdr1,12535.537,-0.727,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ccng1,46357.463,-0.677,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ltbr,11427.57,0.667,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ufd1l,6690.281,0.835,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Arih2,6059.872,0.942,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Usp5,12868.02,0.624,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Phyhd1,2709.96,-1.215,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Rab6b,1519.414,-1.242,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ppid,1669.385,-1.279,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Rapgef1,11710.054,0.686,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Pgd,26831.324,0.937,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Rcn1,11914.293,-0.658,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Pea15a,12414.847,-0.759,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Pcif1,3861.877,0.818,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Echdc1,4532.081,-1.19,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ifrd1,8274.24,0.881,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Cog4,8291.73,-0.696,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Asah2,3970.537,-1.053,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Gfpt1,7570.172,-0.714,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Gsta4,3518.549,1.287,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Psmd8,16181.484,0.788,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Fubp3,4560.162,0.697,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Kdm5c,9152.896,-0.699,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,1110018G07Rik,6932.914,0.728,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,0610007C21Rik,8615.055,0.61,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Psma6,13994.911,0.711,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ccl2,13165.736,-1.316,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Aph1a,10310.73,0.661,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ykt6,12073.434,0.809,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Fam114a1,11853.878,-0.605,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Il33,1067.593,-1.917,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Tbc1d20,5361.765,0.687,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ankrd28,11337.786,0.816,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Neat1,31752.446,-1.177,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Eci2,6815.659,0.704,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,P2ry6,2194.985,-1.402,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Fam84a,3290.01,-1.225,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Xpo1,7004.575,-1.195,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ddx39b,12887.644,0.669,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Atp11a,9922.993,-0.783,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Kctd9,2805.167,1.077,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Slc20a2,6171.587,1.069,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Athl1,2549.445,-1.017,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Fuz,1307.303,-1.185,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Eif4a3,5997.772,0.713,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Plod2,34144.457,-0.748,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ddx46,5708.587,0.754,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Plod3,20465.353,-0.589,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Gpr176,6256.541,1.098,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Tmem143,1846.786,-1.212,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Mocs2,5398.278,0.781,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Dtnbp1,4614.139,0.779,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ibtk,11779.503,0.786,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Dhdh,763.637,-1.606,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Psmd4,9113.425,0.734,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Mapkapk2,13944.896,0.64,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Plaa,7726.832,0.723,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Pomt1,1238.094,-1.223,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Tcerg1,5380.911,0.931,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Arl6ip4,2684.624,0.979,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Fkbp10,21882.313,0.708,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,2410002F23Rik,3010.558,0.883,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Anxa3,5287.47,-0.932,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Maoa,10184.265,0.685,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Fis1,6274.392,0.683,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Rspo2,3054.719,-1.085,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ncrna00085,357.467,2.151,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,D14Abb1e,2730.332,-1.28,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Mccc1,4354.264,-0.974,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Has2,5204.66,-1.229,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Lztr1,6966.313,-0.704,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Gem,1410.01,-1.351,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ctsk,6125.452,0.96,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Invs,1636.685,-1.2,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Usp4,11132.082,0.626,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Fibp,3371.032,1.136,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Adrm1,7978.647,0.8,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Fam171a1,7078.59,0.618,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Tpcn2,2520.166,1.248,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Uhrf2,4109.264,-0.95,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Zfr,9279.024,-0.765,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Efemp1,141283.642,-0.703,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Sumf1,6694.915,0.689,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Trub2,1935.295,1.103,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Foxred1,3003.693,0.882,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Gm2115,17015.382,0.874,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Xpa,1094.308,1.61,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Leprel1,4709.836,-0.852,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,H3f3b,54831.843,0.654,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Trim47,4537.128,-0.828,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Srek1,2459.285,-1.016,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Enpp2,93256.271,0.677,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Nom1,3091.651,0.936,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,N4bp1,7548.991,-0.766,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Eif6,6572.204,0.802,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,E130317F20Rik,570.671,1.866,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Arsg,1428.765,1.09,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Tinagl1,5124.287,-1.05,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Mfsd7b,991.96,1.401,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Cops5,6849.127,0.838,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Nfkb2,6429.683,-0.655,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Fndc3a,14597.561,-0.722,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,C1rl,2524.919,-1.001,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Mettl3,1045.294,-1.303,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Rad18,1598.93,1.219,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,C1qtnf6,4368.305,0.919,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Bcat2,4183.113,-0.837,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Gm12942,948.883,-1.897,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Txnrd1,22792.534,0.812,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Gas7,1348.721,-1.382,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Rbms3,2823.45,-1.003,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Hnrnph3,1446.011,-1.341,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Spata5,1964.855,1.177,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Thap2,764.718,-1.396,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Sphk1,4133.412,0.906,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Rprd1a,2610.689,-0.856,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,E2f1,1996.082,-1.132,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Plekha2,4907.849,-0.995,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Rbm7,5079.524,0.7,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Vps25,9195.334,0.738,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ddx39,1539.109,1.26,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Calm3,16937.185,-0.736,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,2310001A20Rik,9149.746,0.864,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Pisd-ps1,7236.639,-0.827,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Senp8,578.166,-1.538,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,4632428N05Rik,4605.589,-0.701,0,RNA
