ID,Experiment type,Species,Comparison (Treatment),Comparison (Control),Experiment ID,Experimental design,GEO accession number,Link to publication,Contact,Raw and processed file storage location
MacLab_Proteomics_mouse_invivo_lmna.inducible_KO_vs_WT,Proteomics,Mouse,LMNA KO,LMNA WT,E7,"pmWAT from ad-specific KO of Lmna, induced & 2wks post-tamoxifen",NA,NA,jmaung@umich.edu,TBD
MacLab_RUVseq_human_invivo_lipodystrophy_B_vs_C,Bulk RNA-seq,Human,B,C,E8,"3 groups of human patients (called “Treatment1” in analysis): A: Children harboring an R482 mutation, not yet symptomatic, B: Adults with R482 mutation, symptomatic, C: Control patients, family members when possible. We have samples for 2 different locations (called “Treatment2” in analysis): ab: abdominal region and up: upper neck region",NA,NA,rschill@umich.edu,TBD
MacLab_RUVseq_human_invivo_lipodystrophy_A_vs_C,Bulk RNA-seq,Human,A,C,E8,"4 groups of human patients (called “Treatment1” in analysis): A: Children harboring an R482 mutation, not yet symptomatic, B: Adults with R482 mutation, symptomatic, C: Control patients, family members when possible. We have samples for 2 different locations (called “Treatment2” in analysis): ab: abdominal region and up: upper neck region",NA,NA,rschill@umich.edu,TBD
MacLab_RUVseq_human_invivo_lipodystrophy_B_vs_A,Bulk RNA-seq,Human,B,A,E8,"5 groups of human patients (called “Treatment1” in analysis): A: Children harboring an R482 mutation, not yet symptomatic, B: Adults with R482 mutation, symptomatic, C: Control patients, family members when possible. We have samples for 2 different locations (called “Treatment2” in analysis): ab: abdominal region and up: upper neck region",NA,NA,rschill@umich.edu,TBD
MacLab_RUVseq_human_invivo_lipodystrophy_ab_vs_up,Bulk RNA-seq,Human,ab,up,E8,"6 groups of human patients (called “Treatment1” in analysis): A: Children harboring an R482 mutation, not yet symptomatic, B: Adults with R482 mutation, symptomatic, C: Control patients, family members when possible. We have samples for 2 different locations (called “Treatment2” in analysis): ab: abdominal region and up: upper neck region",NA,NA,rschill@umich.edu,TBD
MacLab_RUVseq_human_invivo_lipodystrophy_Aab_vs_Aup,Bulk RNA-seq,Human,Aab,Aup,E8,"7 groups of human patients (called “Treatment1” in analysis): A: Children harboring an R482 mutation, not yet symptomatic, B: Adults with R482 mutation, symptomatic, C: Control patients, family members when possible. We have samples for 2 different locations (called “Treatment2” in analysis): ab: abdominal region and up: upper neck region",NA,NA,rschill@umich.edu,TBD
MacLab_RUVseq_human_invivo_lipodystrophy_Bab_vs_Bup,Bulk RNA-seq,Human,Bab,Bup,E8,"8 groups of human patients (called “Treatment1” in analysis): A: Children harboring an R482 mutation, not yet symptomatic, B: Adults with R482 mutation, symptomatic, C: Control patients, family members when possible. We have samples for 2 different locations (called “Treatment2” in analysis): ab: abdominal region and up: upper neck region",NA,NA,rschill@umich.edu,TBD
MacLab_RUVseq_human_invivo_lipodystrophy_Cab_vs_Cup,Bulk RNA-seq,Human,Cab,Cup,E8,"9 groups of human patients (called “Treatment1” in analysis): A: Children harboring an R482 mutation, not yet symptomatic, B: Adults with R482 mutation, symptomatic, C: Control patients, family members when possible. We have samples for 2 different locations (called “Treatment2” in analysis): ab: abdominal region and up: upper neck region",NA,NA,rschill@umich.edu,TBD
MacLab_Lipidomics_mouse_invitro_scd1.emsc_KO_vs_control,Lipidomics,Mouse,KO,control,E9,SCD1 EMSC adipocytes vs control,NA,NA,morimori@umich.edu,TBD
MacLab_Lipidomics_mouse_invitro_scd1.emsc_KO_vs_control,Lipidomics,Mouse,KO,control,E10,FAC-SCD1 KO vs control,NA,NA,morimori@umich.edu,TBD
MacLab_Proteomics_mouse_invitro_lipid_31_vs_37,Proteomics,Mouse,31C,37C,E11,lipid droplets from cultured adipocytes either 31oC or 37oC,NA,NA,morimori@umich.edu,TBD
MacLab_Proteomics_mouse_invitro_mitochondria_31_vs_37,Proteomics,Mouse,31C,37C,E12,mitochondria from cultured adipocytes either 31oC or 37oC,NA,NA,morimori@umich.edu,TBD
